time_stamp,volt1,volt2
1465326805346.172,4.832625,4.8193125
1465326805451.4219,4.832625,4.8196875
1465326805557.636,4.832625,4.8196875
1465326805662.885,4.8328125,4.819125
1465326805768.09,4.8324375,4.8193125
1465326805873.322,4.831125,4.818
1465326805978.565,4.80825,4.789125
1465326806083.8179,4.8080625,4.7885625
1465326806189.035,4.8084375,4.7893125
1465326806294.252,4.808625,4.7889375
1465326806399.463,4.8080625,4.78875
1465326806504.864,4.81125,4.7926875
1465326806610.115,4.8118125,4.7934375
1465326806715.373,4.811625,4.7915625
1465326806820.526,4.81125,4.7911875
1465326806925.752,4.8105,4.7934375
1465326807031.07,4.811625,4.7934375
1465326807136.3708,4.812,4.794
1465326807241.539,4.8125625,4.7945625
1465326807346.831,4.8005625,4.779375
1465326807452.063,4.79925,4.7776875
1465326807557.478,4.79775,4.7805
1465326807662.653,4.7998125,4.780125
1465326807767.894,4.798875,4.7775
1465326807873.06,4.800375,4.77975
1465326807978.272,4.801125,4.7788125
1465326808083.5159,4.7994375,4.7745
1465326808188.7642,4.7983125,4.773375
1465326808293.948,4.797375,4.7754375
1465326808399.291,4.7979375,4.7795625
1465326808504.591,4.7985,4.7805
1465326808610.1438,4.8005625,4.778625
1465326808715.528,4.794375,4.7716875
1465326808821.1628,4.79925,4.7805
1465326808926.586,4.8009375,4.7803125
1465326809032.378,4.799625,4.778625
1465326809137.718,4.7975625,4.776
1465326809245.1848,4.801125,4.77975
1465326809350.383,4.8,4.7775
1465326809455.672,4.797,4.77975
1465326809561.018,4.80075,4.77975
1465326809666.197,4.7986875,4.7773125
1465326809771.386,4.8016875,4.7803125
1465326809876.678,4.8015,4.7803125
1465326809981.903,4.799625,4.7775
1465326810087.106,4.7985,4.777125
1465326810192.271,4.8015,4.780125
1465326810297.4702,4.8016875,4.780125
1465326810402.646,4.7998125,4.7788125
1465326810507.9119,4.816125,4.7986875
1465326810613.2468,4.8223125,4.8058125
1465326810718.475,4.8211875,4.8043125
1465326810823.677,4.818375,4.8043125
1465326810928.884,4.82025,4.803
1465326811034.063,4.818375,4.8054375
1465326811139.312,4.8215625,4.805625
1465326811244.515,4.82025,4.802625
1465326811349.698,4.821,4.8046875
1465326811454.9612,4.8211875,4.8045
1465326811560.3389,4.8200625,4.8013125
1465326811665.589,4.8204375,4.8045
1465326811770.782,4.821,4.79925
1465326811876.014,4.8193125,4.7979375
1465326811981.2368,4.8211875,4.805625
1465326812086.446,4.8211875,4.805625
1465326812191.624,4.821,4.80525
1465326812296.825,4.81575,4.79775
1465326812402.026,4.821375,4.8054375
1465326812507.2341,4.8215625,4.8061875
1465326812612.604,4.8151875,4.8020625
1465326812717.8308,4.8193125,4.8024375
1465326812823.008,4.818,4.802625
1465326812928.222,4.82175,4.8054375
1465326813033.473,4.82175,4.8054375
1465326813138.7031,4.8193125,4.803
1465326813243.915,4.822125,4.804125
1465326813349.125,4.8211875,4.7994375
1465326813454.365,4.81875,4.797375
1465326813559.5552,4.8215625,4.8054375
1465326813664.895,4.816125,4.798875
1465326813770.1099,4.815,4.7968125
1465326813875.34,4.8215625,4.8046875
1465326813980.53,4.8193125,4.775625
1465326814085.768,4.7919375,4.7715
1465326814190.967,4.800375,4.80525
1465326814296.1472,4.8208125,4.803375
1465326814401.298,4.817625,4.802625
1465326814506.5159,4.819125,4.8031875
1465326814611.704,4.8178125,4.801125
1465326814717.259,4.821,4.8045
1465326814822.439,4.8211875,4.80375
1465326814927.734,4.8196875,4.8035625
1465326815032.946,4.8144375,4.7889375
1465326815138.15,4.8208125,4.8045
1465326815243.3528,4.815,4.8015
1465326815348.5488,4.81425,4.7968125
1465326815453.782,4.8208125,4.804125
1465326815559.001,4.819875,4.80375
1465326815664.272,4.807875,4.7998125
1465326815769.5771,4.821,4.804875
1465326815874.84,4.82025,4.8043125
1465326815980.0269,4.818,4.8015
1465326816085.198,4.82175,4.8054375
1465326816190.426,4.82025,4.8050625
1465326816295.6072,4.819125,4.802625
1465326816400.76,4.8181875,4.8016875
1465326816505.956,4.821375,4.8050625
1465326816611.1902,4.821375,4.804875
1465326816716.5798,4.82025,4.8039375
1465326816821.865,4.8155625,4.7896875
1465326816927.1282,4.8215625,4.8054375
1465326817032.296,4.8219375,4.80525
1465326817138.0962,4.8196875,4.80375
1465326817243.257,4.8174375,4.7994375
1465326817348.4631,4.8211875,4.8050625
1465326817453.743,4.819875,4.8028125
1465326817558.9558,4.8181875,4.801125
1465326817664.184,4.8208125,4.8045
1465326817769.581,4.819875,4.7735625
1465326817874.857,4.794375,4.77675
1465326817980.1309,4.7985,4.8058125
1465326818085.332,4.8195,4.8020625
1465326818190.572,4.81875,4.8045
1465326818296.03,4.82175,4.805625
1465326818401.221,4.8211875,4.7994375
1465326818506.532,4.82025,4.8043125
1465326818611.769,4.81575,4.800375
1465326818717.0652,4.8215625,4.805625
1465326818822.405,4.8211875,4.804875
1465326818927.616,4.8208125,4.8045
1465326819032.898,4.8189375,4.7983125
1465326819138.7588,4.8193125,4.8058125
1465326819243.966,4.8219375,4.8046875
1465326819349.3171,4.8204375,4.8035625
1465326819454.648,4.818375,4.8054375
1465326819559.863,4.8219375,4.806
1465326819665.091,4.819875,4.8024375
1465326819770.526,4.82175,4.8054375
1465326819875.761,4.8215625,4.8028125
1465326819980.967,4.819875,4.803
1465326820086.202,4.8219375,4.806
1465326820191.425,4.8174375,4.7971875
1465326820296.835,4.8200625,4.8043125
1465326820402.02,4.818,4.801875
1465326820507.2861,4.821375,4.805625
1465326820612.4958,4.8211875,4.8050625
1465326820717.771,4.820625,4.8045
1465326820823.109,4.815375,4.7983125
1465326820928.2998,4.8211875,4.8050625
1465326821033.5022,4.82175,4.8054375
1465326821138.805,4.81575,4.8035625
1465326821243.989,4.820625,4.80225
1465326821349.354,4.8219375,4.8058125
1465326821454.595,4.8211875,4.795875
1465326821559.797,4.8106875,4.7686875
1465326821665.0332,4.7986875,4.783125
1465326821770.662,4.80975,4.80225
1465326821875.959,4.8155625,4.7975625
1465326821981.3699,4.8211875,4.8054375
1465326822087.051,4.819875,4.8035625
1465326822192.249,4.8159375,4.8001875
1465326822297.528,4.8211875,4.80525
1465326822402.698,4.8215625,4.8050625
1465326822508.139,4.820625,4.80525
1465326822613.335,4.8148125,4.7964375
1465326822718.513,4.821,4.8050625
1465326822823.852,4.8204375,4.8050625
1465326822929.033,4.819125,4.803
1465326823034.21,4.8195,4.8016875
1465326823139.384,4.8185625,4.8024375
1465326823244.584,4.8174375,4.8050625
1465326823349.751,4.813875,4.8028125
1465326823454.925,4.815,4.7949375
1465326823560.08,4.822125,4.8054375
1465326823665.288,4.8189375,4.8031875
1465326823770.466,4.8091875,4.800375
1465326823875.8591,4.82175,4.80525
1465326823981.119,4.8204375,4.80375
1465326824086.2961,4.817625,4.8016875
1465326824191.4648,4.822125,4.806
1465326824296.672,4.8208125,4.8045
1465326824401.8481,4.8155625,4.7904375
1465326824507.032,4.82175,4.8058125
