time_stamp,volt1,volt2
1465325718683.5178,4.847625,4.8335625
1465325718789.3071,4.848375,4.8339375
1465325718894.5962,4.8478125,4.8343125
1465325718999.9841,4.84875,4.834125
1465325719105.23,4.8485625,4.8345
1465325719210.444,4.8481875,4.8345
1465325719315.675,4.848375,4.8346875
1465325719420.861,4.8489375,4.8361875
1465325719527.9329,4.8489375,4.83525
1465325719634.387,4.8495,4.8358125
1465325719739.573,4.849875,4.82475
1465325719844.79,4.836375,4.8103125
1465325719950.0178,4.8285,4.8208125
1465325720055.35,4.843875,4.836
1465325720160.6519,4.8478125,4.836
1465325720265.809,4.849125,4.8358125
1465325720371.1628,4.848,4.8343125
1465325720476.379,4.8481875,4.8343125
1465325720581.5352,4.8481875,4.8345
1465325720686.7969,4.8478125,4.8345
1465325720791.951,4.8485625,4.834875
1465325720897.151,4.8481875,4.834125
1465325721002.507,4.8481875,4.8350625
1465325721107.759,4.8485625,4.8346875
1465325721212.944,4.8481875,4.8346875
1465325721318.136,4.8493125,4.835625
1465325721423.403,4.8500625,4.8361875
1465325721528.585,4.8493125,4.835625
1465325721633.8,4.849125,4.8354375
1465325721738.978,4.8493125,4.8354375
1465325721844.207,4.8493125,4.8358125
1465325721949.414,4.84875,4.8358125
1465325722054.852,4.8496875,4.836375
1465325722160.114,4.849125,4.8358125
1465325722265.351,4.8485625,4.834875
1465325722370.559,4.848,4.8345
1465325722475.769,4.84725,4.83375
1465325722580.938,4.848,4.8339375
1465325722686.1228,4.848,4.8345
1465325722791.31,4.848375,4.8346875
1465325722896.516,4.848,4.8339375
1465325723001.7122,4.8481875,4.8346875
1465325723107.106,4.84875,4.834875
1465325723212.324,4.848375,4.8346875
1465325723317.599,4.8485625,4.8350625
1465325723422.793,4.85025,4.836
1465325723528.012,4.8495,4.8324375
1465325723633.2559,4.839375,4.8084375
1465325723738.424,4.828125,4.8110625
1465325723843.631,4.8350625,4.835625
1465325723948.804,4.848375,4.835625
1465325724053.968,4.849125,4.8361875
1465325724159.41,4.849125,4.8354375
1465325724264.649,4.8493125,4.836
1465325724369.845,4.8489375,4.836
1465325724475.2542,4.8474375,4.83375
1465325724580.416,4.847625,4.83375
1465325724685.615,4.8478125,4.834125
1465325724790.8071,4.848,4.8339375
1465325724896.041,4.847625,4.8335625
1465325725001.2769,4.8478125,4.8343125
1465325725106.6,4.847625,4.83375
1465325725211.999,4.847625,4.83375
1465325725317.232,4.8478125,4.83375
1465325725422.4329,4.8489375,4.834875
1465325725527.625,4.8485625,4.8350625
1465325725632.864,4.8495,4.8358125
1465325725738.056,4.8493125,4.8358125
1465325725843.241,4.8489375,4.8354375
1465325725948.447,4.849125,4.8361875
1465325726053.625,4.8493125,4.836
1465325726159.059,4.8496875,4.835625
1465325726264.6611,4.8493125,4.8358125
1465325726369.872,4.849875,4.8369375
1465325726475.058,4.8481875,4.8339375
1465325726580.197,4.849125,4.83525
1465325726685.405,4.849125,4.8354375
1465325726790.6,4.8489375,4.8346875
