time_stamp,volt1,volt2
1465327276612.031,4.841625,4.8279375
1465327276717.458,4.840875,4.82775
1465327276822.598,4.839,4.827375
1465327276927.772,4.8406875,4.8028125
1465327277032.9448,4.818375,4.8028125
1465327277138.195,4.822125,4.82625
1465327277243.5168,4.83975,4.82475
1465327277348.871,4.839,4.826625
1465327277454.167,4.840125,4.826625
1465327277559.3928,4.823625,4.8031875
1465327277664.658,4.8230625,4.8058125
1465327277769.912,4.8196875,4.804125
1465327277875.175,4.8230625,4.8031875
1465327277980.402,4.824,4.8075
1465327278085.622,4.8223125,4.806375
1465327278191.005,4.825125,4.8069375
1465327278296.207,4.80375,4.7773125
1465327278401.4248,4.803375,4.7805
1465327278506.664,4.8065625,4.78425
1465327278611.8728,4.806375,4.7821875
1465327278717.087,4.8054375,4.7829375
1465327278822.238,4.7968125,4.771125
1465327278927.393,4.7964375,4.7750625
1465327279032.612,4.7945625,4.769625
1465327279137.803,4.7949375,4.7705625
1465327279243.165,4.7934375,4.7701875
1465327279348.413,4.7956875,4.769625
1465327279453.6272,4.7934375,4.7698125
1465327279558.836,4.795125,4.76775
1465327279664.002,4.79175,4.7653125
1465327279769.2512,4.8045,4.782
1465327279874.413,4.8095625,4.7810625
1465327279979.606,4.8054375,4.7805
1465327280084.786,4.8058125,4.7836875
1465327280190.001,4.804125,4.7821875
1465327280295.383,4.8061875,4.78425
1465327280400.606,4.8046875,4.7829375
1465327280505.817,4.80675,4.78275
1465327280611.0461,4.804875,4.78575
1465327280716.238,4.8226875,4.8043125
1465327280821.409,4.822125,4.8046875
1465327280926.603,4.8226875,4.804125
1465327281031.791,4.8223125,4.8009375
1465327281136.99,4.819125,4.803
1465327281242.2258,4.8215625,4.803375
1465327281347.479,4.8226875,4.8046875
1465327281452.689,4.82175,4.8035625
1465327281557.928,4.82175,4.8039375
1465327281663.1218,4.82175,4.803375
1465327281768.3179,4.8215625,4.80375
1465327281873.4739,4.8215625,4.8035625
1465327281978.649,4.8219375,4.80375
1465327282083.8062,4.82175,4.8054375
1465327282189.004,4.8223125,4.8045
1465327282294.2988,4.8226875,4.8043125
1465327282399.567,4.8225,4.804125
1465327282504.781,4.8405,4.8271875
1465327282614.78,4.840125,4.8268125
1465327282720.206,4.840125,4.8264375
1465327282825.5251,4.8403125,4.8241875
1465327282931.026,4.8405,4.827
1465327283036.4238,4.8406875,4.827375
1465327283141.717,4.8395625,4.825875
1465327283247.649,4.838625,4.8253125
1465327283353.3079,4.839,4.8253125
1465327283458.686,4.8384375,4.8253125
1465327283564.272,4.8223125,4.804125
1465327283669.843,4.819875,4.80225
1465327283775.394,4.82325,4.8013125
1465327283880.944,4.8230625,4.8046875
1465327283986.145,4.8226875,4.804875
1465327284091.328,4.8234375,4.8061875
1465327284196.5188,4.8241875,4.806
1465327284301.93,4.838625,4.80075
1465327284407.099,4.8195,4.8024375
1465327284512.479,4.824,4.827375
1465327284617.682,4.840125,4.8271875
1465327284722.829,4.8403125,4.827375
1465327284828.016,4.8405,4.82475
1465327284933.203,4.8399375,4.8264375
1465327285038.368,4.840125,4.827
1465327285143.537,4.8403125,4.8271875
1465327285248.847,4.83975,4.8260625
1465327285354.0771,4.839375,4.8255
1465327285459.332,4.8388125,4.825125
1465327285564.548,4.8388125,4.825125
1465327285669.779,4.8388125,4.8253125
1465327285775.003,4.839,4.8253125
1465327285880.145,4.8388125,4.8255
1465327285985.529,4.839,4.8253125
1465327286090.755,4.839,4.8255
1465327286195.956,4.8403125,4.8268125
1465327286301.1401,4.8399375,4.8268125
1465327286406.332,4.8399375,4.8264375
1465327286511.529,4.8403125,4.825875
1465327286616.769,4.840125,4.8268125
1465327286721.948,4.8399375,4.8219375
1465327286827.122,4.840125,4.826625
1465327286932.323,4.8403125,4.827
1465327287037.658,4.8405,4.827
