time_stamp,volt1,volt2
1465330121520.654,4.787625,4.7593125
1465330121625.9001,4.7870625,4.7585625
1465330121730.9958,4.786875,4.7589375
1465330121836.042,4.7870625,4.758375
1465330121941.1162,4.785375,4.7581875
1465330122046.201,4.7870625,4.7593125
1465330122151.313,4.78875,4.7596875
1465330122256.4011,4.7865,4.7593125
1465330122361.496,4.78725,4.7585625
1465330122466.68,4.78725,4.758375
1465330122571.823,4.7865,4.758
1465330122676.955,4.78725,4.7589375
1465330122782.0662,4.7870625,4.759875
1465330122887.188,4.7865,4.7578125
1465330122992.357,4.7863125,4.758
1465330123097.555,4.7866875,4.75875
1465330123202.6492,4.78875,4.758375
1465330123307.803,4.7851875,4.758
1465330123412.9,4.78725,4.7585625
1465330123518.19,4.7881875,4.76025
1465330123623.276,4.77825,4.7473125
1465330123728.344,4.7784375,4.747875
1465330123833.535,4.7795625,4.7488125
1465330123938.739,4.7803125,4.7491875
1465330124043.91,4.7788125,4.747125
1465330124149.027,4.77825,4.744125
1465330124254.133,4.7885625,4.757625
1465330124359.257,4.7870625,4.759125
1465330124464.36,4.7881875,4.759875
1465330124569.428,4.7881875,4.7589375
1465330124674.551,4.7885625,4.7600625
1465330124779.646,4.78725,4.7581875
1465330124884.754,4.78875,4.7611875
1465330124989.878,4.7866875,4.7585625
1465330125095.009,4.7881875,4.759875
1465330125200.133,4.786875,4.7593125
1465330125305.281,4.7885625,4.7600625
1465330125410.391,4.786875,4.758375
1465330125515.5088,4.786875,4.758375
1465330125620.656,4.78875,4.7595
1465330125725.758,4.7866875,4.758375
1465330125830.841,4.7866875,4.7581875
1465330125936.331,4.7874375,4.7596875
1465330126041.454,4.787625,4.7593125
1465330126146.503,4.7866875,4.758375
1465330126251.626,4.7874375,4.759875
1465330126356.76,4.7874375,4.758375
1465330126461.875,4.7870625,4.7593125
1465330126567.225,4.7865,4.7585625
1465330126672.2988,4.7866875,4.7578125
1465330126777.331,4.787625,4.759125
1465330126882.985,4.7866875,4.7581875
1465330126988.121,4.7870625,4.758375
1465330127093.3162,4.7865,4.7566875
1465330127198.404,4.7829375,4.759125
1465330127303.542,4.78725,4.75875
1465330127408.694,4.7863125,4.757625
1465330127513.72,4.7865,4.758
1465330127618.8071,4.78725,4.7589375
1465330127723.9102,4.78725,4.757625
1465330127829.046,4.786875,4.758375
1465330127934.196,4.7863125,4.758
1465330128039.314,4.7878125,4.759125
1465330128144.355,4.7863125,4.758
1465330128249.409,4.786125,4.7578125
1465330128354.509,4.7870625,4.7600625
1465330128459.656,4.78575,4.756875
1465330128564.833,4.78575,4.75725
1465330128670.263,4.785375,4.758
1465330128775.4568,4.7870625,4.758375
1465330128880.5361,4.7855625,4.7570625
1465330128985.9778,4.78575,4.7570625
1465330129091.047,4.7865,4.7578125
1465330129196.134,4.783125,4.7566875
1465330129301.28,4.785375,4.7570625
1465330129406.395,4.7859375,4.7581875
1465330129511.646,4.7865,4.758375
1465330129616.776,4.78575,4.75725
1465330129721.8699,4.7870625,4.7595
1465330129826.942,4.7866875,4.7578125
1465330129932.097,4.78575,4.7566875
1465330130037.438,4.7863125,4.7589375
1465330130142.678,4.78575,4.7563125
1465330130247.7678,4.786125,4.7563125
1465330130352.895,4.7859375,4.757625
1465330130458.119,4.7878125,4.7596875
1465330130563.2131,4.7865,4.7578125
1465330130668.315,4.788,4.7593125
1465330130773.507,4.7870625,4.7593125
1465330130878.695,4.78725,4.7589375
1465330130983.886,4.7865,4.758
1465330131089.067,4.7865,4.7589375
1465330131194.105,4.7874375,4.7578125
1465330131299.151,4.78725,4.759125
1465330131404.325,4.7866875,4.7578125
1465330131509.5361,4.7870625,4.7581875
1465330131614.701,4.7866875,4.7581875
1465330131719.801,4.7866875,4.7581875
1465330131824.88,4.786875,4.759125
1465330131930.043,4.786875,4.758
